417,5732,516,1276,1560,120,2895,556,96,63,99,79,1800,416,1522,325,1852,2207,224,170
4916,2750,4395,2703,1365,3372,2382,1842,2587,5372,1826,1851,875,1822,1334,1943,1774,2154,1975,2579
2443,2400,2120,1890,1489,1045,1060,1523,1213,1052,1143,1077,1304,939,718,1010,1205,1119,1202,1309
1684,2038,864,622,503,1437,1066,471,949,154,696,511,628,709,2017,1421,707,450,650,725
1918,2048,1888,1483,1274,1009,945,1329,1042,760,1123,1075,889,830,781,1046,1071,883,1016,1016
2048,1577,1229,920,1105,1012,758,1186,742,194,1173,906,783,573,618,765,831,640,803,850
1384,1366,1212,1043,987,657,733,843,795,632,856,580,756,549,551,782,693,713,695,680
1325,1265,1031,815,871,542,769,646,655,742,713,387,690,293,644,779,615,549,695,580
1296,1407,1272,918,991,865,783,836,786,786,906,603,730,447,586,809,699,660,826,687
1335,1311,1100,818,832,673,781,987,722,573,711,540,751,526,550,754,665,675,665,568
