"","V1"
"HG00096",-0.276802851978552
"HG00097",-0.209184222323592
"HG00099",-1.76319251011672
"HG00100",-0.618394204753267
"HG00101",-0.249252443065726
"HG00102",0.399756473562948
"HG00103",0.663301566552492
"HG00104",0.323918823336487
"HG00105",0.426982403030604
"HG00106",-0.309015724138404
"HG00108",0.862264522294765
"HG00109",0.867394238791804
"HG00110",0.304883718683841
"HG00111",-0.523599511132573
"HG00112",1.999266211253
"HG00114",0.204554027833129
"HG00115",-0.179683425630249
"HG00116",2.11387431603715
"HG00117",0.757648460130917
"HG00118",0.181857050343513
"HG00119",-1.10192997413837
"HG00120",0.555505793452956
"HG00121",0.0136572471745442
"HG00122",-0.855301645197018
"HG00123",-0.666952783306083
"HG00124",-0.0930233310474614
"HG00125",1.05451968892134
"HG00126",-0.16038660340346
"HG00127",2.5905514837964
"HG00128",1.08635721681607
"HG00129",-0.461043816529967
"HG00130",-0.345806123723079
"HG00131",0.308353855944948
"HG00132",0.0240751423315536
"HG00133",0.0435954446306676
"HG00134",-0.936858406476045
"HG00135",-0.270340989974479
"HG00136",-0.289388005144571
"HG00137",2.18733606845074
"HG00138",0.933490891246939
"HG00139",-1.1321909477181
"HG00141",0.217624125119746
"HG00142",-0.0688398838797562
"HG00143",-0.607111906805773
"HG00145",-0.143174206646499
"HG00146",1.43295578497392
"HG00148",0.0751291753250223
"HG00149",0.15133304267275
"HG00150",-0.349054016351468
"HG00151",2.00407350639493
"HG00152",0.79899378063583
"HG00154",-0.0355051680215754
"HG00155",-0.904890138061526
"HG00156",0.123306801815828
"HG00157",-0.0420345756380112
"HG00158",-0.0858025465302762
"HG00159",1.5377890084748
"HG00160",2.35242401923663
"HG00171",0.396489713328248
"HG00173",-0.893500480693635
"HG00174",-0.361607888716658
"HG00176",0.546848067550177
"HG00177",-0.790914237521407
"HG00178",0.532566182407348
"HG00179",0.222358868297217
"HG00180",0.29348589789774
"HG00181",1.46647042049687
"HG00182",-0.766092242254658
"HG00183",0.245892503153152
"HG00185",-1.26497184284494
"HG00186",0.572379062293021
"HG00187",-1.51235628924013
"HG00188",-0.910756632597371
"HG00189",-0.147630911183672
"HG00231",1.4690423657408
"HG00232",0.338624888863337
"HG00233",0.228047286747337
"HG00234",-0.0641374560778005
"HG00235",1.10379923720329
"HG00236",-0.809381904998916
"HG00238",-0.323420353367215
"HG00239",0.824383502979171
"HG00240",-0.21840906690225
"HG00242",-0.329918916755545
"HG00243",-0.199468334972002
"HG00244",1.10585699758585
"HG00245",0.502987664531525
"HG00246",2.41080792365634
"HG00247",0.188766334533592
"HG00249",2.11579722372682
"HG00250",-0.277580162909602
"HG00251",-0.681066270277167
"HG00252",0.822163064371635
"HG00253",0.395938721386092
"HG00255",-0.356738283859602
"HG00256",-0.61170041639691
"HG00257",-0.216432859588342
"HG00258",1.90847439625103
"HG00259",-0.417989266703103
"HG00260",-0.381757383129702
"HG00261",-0.135492821808004
"HG00262",-0.487623916714288
"HG00263",3.07403993981101
"HG00264",0.803362373970415
"HG00265",0.889719834851391
"HG00266",-1.25732401567776
"HG00267",-0.670169441147146
"HG00268",-0.00731747850641685
"HG00269",-0.8034153908061
"HG00271",-0.0518986880279962
"HG00272",-0.433526987790619
"HG00273",0.378538631774982
"HG00274",-0.385591742832999
"HG00275",0.877885168491362
"HG00276",-0.520564041641501
"HG00277",-1.04547470385252
"HG00278",0.840356559791555
"HG00280",0.140979318700248
"HG00281",0.139860929794773
"HG00282",-1.64311051664791
"HG00284",0.612007695294385
"HG00285",1.32215109786696
"HG00306",-1.21188239254149
"HG00308",-0.361208525585197
"HG00309",1.01366758394426
"HG00310",-0.82067680562068
"HG00311",-0.51930709203182
"HG00312",-0.927566414927423
"HG00313",-0.59518197538332
"HG00315",-0.0033458960616453
"HG00319",-0.267511137550893
"HG00320",0.636976825709863
"HG00321",0.684802915440309
"HG00323",0.017410790025535
"HG00324",-0.295290142325904
"HG00325",-0.425034216664314
"HG00326",-2.19521814488163
"HG00327",-1.03900215276273
"HG00328",0.0344170899644871
"HG00329",-0.343696318918892
"HG00330",1.95266979482821
"HG00331",-0.300859278818454
"HG00332",-0.104907513435533
"HG00334",-1.0666853448979
"HG00335",0.0980049521965546
"HG00336",0.084777100475885
"HG00337",-0.0380678095611191
"HG00338",0.268555448935263
"HG00339",-0.0483989902345192
"HG00341",-1.49247441428471
"HG00342",0.129248327189499
"HG00343",0.190589711162886
"HG00344",0.484326246476692
"HG00345",0.468941104168476
"HG00346",1.16063083102979
"HG00349",-0.335811011092358
"HG00350",0.794989235824412
"HG00351",-0.58195412873354
"HG00353",-1.18193936410358
"HG00355",0.212254730663711
"HG00356",1.24549005247551
"HG00358",-0.206178632325579
"HG00359",-0.499094166630126
"HG00360",-0.99600127778526
"HG00361",-1.73405304922298
"HG00362",-2.67030355410256
"HG00364",-0.55049763945604
"HG00365",0.704424882937593
"HG00366",-0.484513889789723
"HG00367",0.254181397320936
"HG00369",0.388233349961159
"HG00371",-0.381182998948777
"HG00372",-0.500737912593874
"HG00373",1.05765498860924
"HG00375",-0.232030106698398
"HG00376",-0.28900510685873
"HG00377",-1.07813431082428
"HG00378",-0.386505583681986
"HG00379",-0.844328348314038
"HG00380",0.0525227184315964
"HG00381",0.0108293778997539
"HG00382",-0.260602267707759
"HG00383",-0.971953854131146
"HG00384",-0.745616513179796
"HG01334",-0.334090609894997
"HG01789",0.316941125955754
"HG01790",0.0112447717437178
"HG01791",-1.85604182660041
"HG02215",2.02092083404826
"NA06984",0.705835761745065
"NA06985",0.480791048354552
"NA06986",1.06782138821369
"NA06989",-0.539928031090757
"NA06994",-1.45487584710897
"NA07037",0.642141682087265
"NA07048",-1.92490025928984
"NA07051",-0.865974594147885
"NA07056",-1.74363322531844
"NA07346",1.58474970765358
"NA07347",0.74727338816461
"NA07357",0.15282158639089
"NA10847",0.512225949723
"NA10851",1.19292065643077
"NA11829",-1.24267158477153
"NA11830",0.41531011673896
"NA11831",-1.23095034092545
"NA11832",-1.45197278213337
"NA11840",-1.428678608855
"NA11843",1.66245977979358
"NA11881",0.113667905457434
"NA11892",-0.257792644862436
"NA11893",-0.668976194208921
"NA11894",-0.626253313321022
"NA11918",-1.33389458857627
"NA11920",-0.802336888008939
"NA11930",0.719586693039929
"NA11931",-0.156707923312445
"NA11992",-0.966891199722652
"NA11993",-0.21112631754105
"NA11994",-0.881259839347349
"NA11995",-1.47245838743714
"NA12004",-0.462107119457578
"NA12005",-0.692108507704965
"NA12006",-1.88821320164735
"NA12043",-0.976022906982878
"NA12044",1.50751372382273
"NA12045",-1.31737421086337
"NA12058",2.97598412672084
"NA12144",-0.345845565097568
"NA12154",-0.826354253481411
"NA12155",-0.07103568720221
"NA12156",-0.321023081439038
"NA12234",0.908992716066465
"NA12249",3.89047376551191
"NA12272",-0.856618734889776
"NA12273",0.870285702321531
"NA12275",0.800322031313823
"NA12282",0.055509762613784
"NA12283",-1.97395022596139
"NA12286",0.694108028632645
"NA12287",-1.02301227610217
"NA12340",0.00997871844990639
"NA12341",-1.37776764793879
"NA12342",1.01254293339305
"NA12347",-0.250124779428139
"NA12348",0.234248860254457
"NA12383",-0.127982913074817
"NA12399",-1.8135475443322
"NA12400",0.901313075873087
"NA12413",-0.498464462879785
"NA12489",-0.111056267570492
"NA12546",-1.08726427195075
"NA12716",1.38851837922251
"NA12717",-0.173647936971983
"NA12718",-0.755973724065996
"NA12749",1.15378404334774
"NA12750",-1.61757122637523
"NA12751",-0.928699599189134
"NA12760",0.875089181822552
"NA12761",-0.348554855194784
"NA12762",0.743841412626492
"NA12763",-0.990996230229642
"NA12775",-1.09653986007255
"NA12776",-1.19642063549498
"NA12777",1.35724680009956
"NA12778",0.65051761076955
"NA12812",-1.29647094991371
"NA12813",-0.704244443676876
"NA12814",0.224010724804277
"NA12815",1.51612679065336
"NA12827",2.70519437628803
"NA12829",-0.869247211070664
"NA12830",1.4821528536525
"NA12842",2.19661791921636
