   10.0920    5.2931   -0.7689
    7.9440    7.0456    0.0162
    2.2536    8.2253   -0.6055
   10.1467    5.1728   -2.6900
    5.2455   10.6913    0.1439
   10.6541    1.2542   -0.4655
    4.8484   11.7164   -0.4628
    5.8777    5.3298    1.3411
    0.8964   10.3340    0.4278
   11.1118    0.2439   -1.1205
    8.8266    0.7533    1.9815
    3.4141    7.8371   -0.4331
    5.2650    8.1700    0.0260
    1.3019   11.9596    0.5335
    5.9204    5.2355    1.4697
    5.4213    5.6454    0.6179
    8.5668    6.7422   -0.2812
    8.0925    6.1945    0.0226
    7.4769    5.2239    0.2593
    2.0073    8.6935   -0.6971
    2.2284    7.8081   -0.5607
    1.3900   10.2161    0.3574
    2.2681    8.6110   -0.4394
    2.3760   11.3020    0.5656
    3.6004    9.7870    0.2672
    9.2047    7.4202   -0.5634
    9.3084    7.6050   -1.1789
   10.7573    3.9552   -1.4054
    9.4571    0.1959    2.5693
    7.6987    5.1610    0.0431
    2.1541    8.3119   -0.5701
    7.5420    3.6398    1.6706
    9.1414    4.3743    0.0187
    9.8688    5.5693   -0.2578
    7.8378    7.2729   -0.1733
   10.7648    3.9902   -2.0138
    0.5884    9.8479   -0.0966
    7.6166    3.9787    2.5067
    3.8486   10.6337    0.4642
    1.8245   10.9980    0.6324
    7.4619    3.1421    1.3543
   10.8728    2.5337   -1.8524
   10.1081    6.0100   -1.4125
    5.0097   11.2426   -0.0544
    9.5626    0.5091    2.3981
    5.1882    5.9645    0.2687
    6.7797    8.1547    0.2017
    5.8452   10.2359    0.0725
    5.4502    7.1165   -0.1787
    3.5245    6.5545    1.4143
    3.1893    8.2818   -0.1637
    1.8867   11.6352    0.6121
    0.4259    8.1567   -0.8679
    1.9128   12.8317   -0.5247
    8.3131    2.3951    1.5306
    0.4006   11.8515    0.8682
    1.9192   11.8741    0.6625
    9.7046    0.4479    2.9969
    8.1227    3.8538    0.3147
   10.6423    3.2356   -2.5675
    7.1716   10.1619   -0.5953
   10.1719    3.4711   -0.3005
    0.0292    8.2157   -1.1624
   10.9203    0.2876   -2.1030
    9.2882    7.6748   -2.1928
    8.4555    2.0075    1.9676
    6.5796    9.7290   -0.1969
    4.0492    9.9685    0.5982
    7.8795    3.7169    0.7219
    5.4122    5.8952    1.0906
    7.6376    4.0815    0.5704
   10.9655    3.2183   -1.9748
    3.2053    8.8705   -0.3861
    2.5405    8.2355   -0.4824
    4.8132   10.3683    0.3123
    9.9232    0.7074    0.1008
    5.9671    8.5846    0.1662
    8.4827    4.9309   -0.0105
    6.7522    8.8148   -0.1918
    1.2181    8.8763   -0.7259
    5.7376    5.7606    1.1900
    6.4741    4.9814    1.3927
    2.9942    9.1886    0.0823
    1.1846    6.8263    0.1094
    6.3753    6.6485   -0.0172
    9.6022    6.7424   -2.3491
    1.3193   12.0611    0.7781
    9.2780    4.4146   -0.0876
    3.2127    8.4996   -0.3063
    5.1835   11.3649   -0.1673
    1.6026   11.8763    0.8744
    9.3613    1.5751    2.9798
    1.9461   11.0416    0.6492
    6.3278    8.5683   -0.0213
   10.8961    0.2068   -2.2426
    9.0606    3.5596    0.3887
   10.8845    2.1406   -2.4444
    1.9660   10.3753    0.1783
    3.6276   12.0082   -0.3425
    3.4495    8.8477   -0.0426
    3.7975   12.3707   -0.7761
    4.2231    7.7467   -0.1570
    6.0678    9.0749    0.0665
    9.5067    6.2038   -0.4049
   10.8240    3.5693   -1.0964
    9.0147    4.1567    0.0654
    7.5545    7.1287   -0.1292
    6.5899    4.7908    1.0439
    4.6306    9.1696    0.0981
    8.6498    4.7794    0.1832
   11.0863    0.8454   -1.7921
    3.2008    8.7816   -0.2541
    5.9130    6.9986    0.1244
    8.8553    0.9460    0.7760
    6.6235    6.5444    0.2823
    2.0834    7.9129   -0.4314
    8.9553    7.9185   -1.0386
    2.6366    7.3245   -0.0005
    5.4965    5.3557    2.2191
    4.0099    7.7407   -0.2600
    0.2927   12.4724    0.7673
    7.9329    4.9158    0.3897
    6.8097   10.0879   -0.6382
    5.2749    5.5451    1.7182
    2.3624    7.9009   -0.5649
    5.6352    5.4448    1.1816
    5.0742   11.3071    0.0167
    4.5113    9.2298   -0.0839
    2.8704   10.7855    0.4760
   11.0871    0.1903   -1.2163
   10.5081    0.8001   -2.9201
    7.7709    7.8019   -0.0007
   10.5402    5.1983   -1.7573
   10.9956    0.2383   -2.3250
    3.4397   10.2659    0.6873
    9.1406    0.9697    0.8042
    7.4936    3.9703    1.1502
    9.1399    5.4054   -0.1320
    3.4275   11.5783    0.0842
   10.8010    0.0742   -0.7969
    5.4606    5.3555    2.0468
    5.9147    8.5133   -0.0117
    6.8048    4.5326    1.5606
   10.7947    3.4757   -1.8075
    1.7133   10.3004    0.2487
    0.1518    7.3459   -0.4219
    0.8393    6.7964    0.1369
