1346.48	1559.96	910.329	1155.06	1289.35	1366.88	1150.22	1270.03	1508.37	1370.82	1492.75	1230.97	1481.43	1464.16	1568.96	1390.94	1699.47	1284.51	1400.81	1605.5	1519.39	1460.23	1649.07	1528.11	1309.14	1523.64	1147.02	1500.26	1282.31	1243.68
68.1636	91.8582	61.9767	78.2482	95.671	74.0121	69.2154	99.9677	75.4962	67.7147	95.8016	59.2511	75.5142	72.3847	85.2657	82.7283	75.6488	120.028	99.0198	68.0337	91.3725	101.577	124.37	39.8712	74.1703	87.9296	134.214	113.775	116.494	104.69
250.021	188.436	227.641	276.961	179.579	216.809	283.7	189.129	287.982	232.123	287.988	270.158	182.398	238.031	457.912	227.95	209.485	343.537	243.123	238.19	302.814	244.617	219.849	254.677	316.547	188.882	364.078	238.789	302.713	215.186
1198.8	1002.73	700.406	1426.53	1115.69	1071.37	1641.89	1220.96	1250.61	1185.54	1313.55	1349.89	1013.09	1200.15	1500.59	1014.5	1113.79	1221.86	1263.91	1300.35	1192.62	1341.71	969.997	951.534	1304.72	1242.21	1120.66	1452.28	1046.34	1195.04
66.7652	56.9903	85.9812	82.0271	81.8432	69.2788	67.3695	74.3113	63.3043	67.4512	63.0515	89.0282	92.5383	59.206	61.8531	63.372	82.7318	62.0396	51.2597	100.393	51.4202	87.5982	48.4394	67.2086	78.4587	47.8665	70.9431	97.082	126.229	81.776
232.31	330.107	293.63	267.491	384.147	254.703	332.964	278.729	278.74	178.988	182.015	203.189	241.706	233.148	258.809	328.12	199.115	190.581	285.265	274.023	272.139	313.439	249.607	151.64	165.788	197.316	274.673	337.306	291.838	237.201
429.53	513.985	669.164	465.406	537.775	476.46	462.173	437.172	458.042	473.911	405.942	357.615	521.8	368.907	452.081	448.913	531.129	426.576	328.897	516.254	451.708	536.321	377.871	435.729	490.422	366.435	539.579	598.816	499.956	481.433
969.528	1264.72	544.362	743.942	762.246	961.996	747.314	764.768	832.421	651.158	1310.02	774.705	1132.45	981.149	1067.8	764.239	1521.46	1080.26	1157	1225.02	1224.54	1346.61	1121.56	1334.2	1034.6	1083.12	1121.23	1194.32	1191.49	1137.5
508.879	114.899	1969.94	882.661	2223.97	498.057	569.262	538.519	129.323	59.7746	186.635	391.002	642.506	324.219	77.2631	89.2512	527.028	49.4429	208.45	547.204	61.5121	1923.85	37.0075	69.2878	320.218	60.968	281.726	2382.09	848.054	147.322
2927.8	3014.11	2540.69	2881.22	2736.35	2473.98	2589.52	2886.12	2453.59	2756.44	2545.46	2699.21	2907.48	2392.33	2513.37	2770.27	2899.2	1845.36	2358.37	2404.44	2106.31	1944.43	2715.6	2472.22	2732.8	2696.75	1608.41	2105.09	1418.47	1566.23
