age sex
34.0864229518801 1
32.6639740714305 1
27.6858531734252 0
31.9484979261065 0
31.6984478106021 0
37.1016715448237 0
25.7611968855641 1
28.3388803379147 1
25.808876693248 1
25.5270592111662 1
30.6877389513106 1
32.5222572273787 1
33.4867046696613 1
31.4668635196202 0
39.5045456061981 0
25.2218442073966 1
28.8948274200015 0
36.7457102620823 1
23.2368182511511 0
29.1900070217381 0
42.389410349563 0
38.1972070698727 1
40.9755054313583 0
33.8154353840774 0
35.0670336781139 0
31.2056583694087 0
31.1470524847908 0
25.5502480006775 1
22.0650939303338 0
28.1236997328834 1
31.0802292070326 0
39.4554872376006 1
24.4499481984305 0
31.3915415480254 0
23.5644817776552 0
26.957095493634 1
22.9634468946096 1
26.9580499837322 0
18.4600308339794 1
27.3257425127843 0
31.2470963437691 0
37.9869688110673 0
34.2661087807381 1
37.1913952544884 1
35.2131434270385 1
27.0106643097696 1
38.4809319878622 1
24.747870171148 0
34.345856074809 1
27.6991579173066 1
20.3892115828285 0
29.3223095643006 1
36.5596651160669 0
20.0877513232695 0
25.3736006131085 0
22.576265462074 0
25.126405743529 0
33.1516393327094 0
27.3444222084777 1
22.7689337341172 0
29.7238541298215 0
28.1412801277928 1
27.1977702771506 0
31.6146138260315 1
23.4705860943663 1
23.8020658950785 1
36.2709619520888 0
35.5517623491472 0
25.8095029340188 1
32.8033077121805 0
19.5315035746644 0
37.4158950857923 1
29.0611193953292 0
21.1632966956438 0
30.0244688712115 1
22.1892697430374 1
30.102153610404 1
27.2951179803338 1
30.4581326382889 0
32.1281408723631 0
35.2561969356001 0
37.2946051412528 0
32.8584561533614 1
33.4124187048613 1
35.5537403451232 1
32.0453250411232 0
30.5933839224984 0
27.276719230337 0
37.0012173995043 1
31.3681306758994 0
26.5939743497343 0
33.4851582612252 1
31.5514348763816 1
26.6385680898626 0
33.4027667040491 1
23.2834199071552 0
39.7184416591009 0
43.0918095210979 0
42.5323598871529 0
26.898251763907 0
28.4503787331688 1
31.8887388393289 1
36.1593061975116 0
32.6222761284231 0
32.9907224317306 0
29.3490143115026 0
27.8528745180973 1
32.4255402804665 1
26.0767837934903 0
34.3362515206648 1
26.5815044983894 0
25.9815895316013 0
45.1159589503003 0
31.7890586601627 1
36.2360038494991 0
30.000597326274 1
24.4033957051736 1
27.4914377853801 1
28.0030456756122 0
32.5309595668474 0
28.8741355369913 0
36.0509738895208 1
26.9908151257221 1
31.4814918045274 0
19.2354885880669 1
33.9805209506196 1
32.7877417827413 0
38.9073824018509 1
28.0741390189056 1
30.3120884828143 1
34.0519185587009 0
33.7406363107183 0
29.731321491745 0
35.0876712325566 1
33.235860125911 0
26.6042533607561 0
30.1744542968141 0
24.4935141009108 1
28.0724986522809 1
25.456034476093 0
35.5361183234307 0
31.5923844194664 0
23.8298518000685 1
26.1052833208511 1
26.1526059570675 1
28.5101587035662 1
34.7576111679779 0
34.7258468890758 0
36.0956677800205 0
35.7546393951838 0
33.3190178296033 1
29.545476215676 1
32.438495780677 1
23.103951741032 0
32.2728417793094 1
30.657245074395 1
32.9089015650618 0
26.5622743329349 1
24.9552597077298 1
23.3153923502937 1
35.3862842507339 0
28.539328868979 1
19.4433603102598 0
30.9467634793113 1
31.9285975593548 0
23.820933870982 1
23.9520656855222 0
24.7295997046748 0
26.3716572723346 1
32.9499204251805 0
43.5549101702759 1
29.1805015118023 1
35.1321659040766 0
27.791455644583 1
26.923535438043 0
32.7835529439425 0
28.6605941511627 1
35.5227140516882 0
28.4291141725045 1
24.9108251444636 0
24.9638753147449 0
31.5255315431527 0
21.0456385397757 0
32.847860779672 1
34.5559451346118 1
29.9052021804795 1
18.6949453994699 1
27.6121694178268 1
31.9776449363724 1
28.5755738975 1
38.2749458109827 1
28.1758858762965 0
29.4033169087128 0
27.3429530060396 1
28.9052217878333 0
25.457679951759 0
28.8599004995141 0
32.5143936075526 0
20.2845457449031 1
31.8044920146066 0
23.7212190705534 1
22.6873558890166 1
29.8772823033478 0
33.0463737265165 1
38.1674604527333 0
23.447095173281 1
33.1465427365383 0
26.8078169058116 1
25.80047649533 0
25.2535796967516 1
29.2861806391281 1
23.5266925526285 1
33.9137563046008 0
29.3784447543598 1
26.4844075590955 0
19.1531564552418 1
25.8388991627506 1
27.8039504912811 1
34.2457992842177 1
23.5540609425375 1
30.2686703113944 0
29.7241861696572 1
25.7195785066861 0
31.7878847753182 1
32.3311192309282 1
25.5217121979058 1
16.5856450313563 0
34.9201669872813 0
30.0606197724109 1
27.8774090708921 0
28.3764968896507 0
26.8011883427639 1
32.9310079546849 1
34.6885984671667 0
29.0100586798312 1
30.1775418674218 0
29.3080527108697 1
23.5036694645345 1
27.7923439538212 0
29.1112865314443 0
37.0383969612938 0
28.0713992391462 1
33.2027018108923 0
21.1210008400649 0
23.1780648329081 0
30.0204630185106 0
33.8767296940315 1
30.010738087464 0
27.8051053638264 0
31.1732121883485 1
40.2461548503327 0
34.7364257035778 1
30.9588420736189 1
30.6812565764169 0
23.365585071468 1
26.3734588149251 0
31.8911164241977 0
24.8164373793146 1
23.8934894164342 1
27.205110077959 0
35.4390195082798 1
31.6052720820154 0
29.3103303368256 1
25.1687580196264 1
29.0933415120118 0
34.7706948593654 0
24.1752927022308 0
27.9880578133094 1
24.2950049371333 0
29.6405384277876 0
28.0292874234031 0
25.9273069184779 1
32.4668681405576 1
31.8904739122631 1
25.7574125725885 1
26.4136249947616 0
26.068638910188 0
27.4480660991184 0
23.5505993384957 1
44.7349109867732 0
26.2906496994135 1
17.7165109884111 1
32.6088940747632 0
37.5484733624176 1
21.4264135163201 0
35.1768265687714 0
36.4423855743126 0
27.6891940874354 1
29.2747870952942 0
27.1743155778139 0
29.4116622813765 1
34.5789516631118 1
36.5131093829584 0
30.4181093186979 1
33.9528217823469 1
18.9982981886662 0
36.2595281539256 1
29.6674268015352 1
22.3779917861029 0
22.4180037866113 1
25.9707368590212 0
30.6670676619584 1
23.7546793038402 0
31.1359057310081 0
27.8325784047676 1
21.5807446421198 1
28.1865976103529 1
24.4235390186064 1
29.5017012312585 1
29.165928155727 0
30.7868485735975 1
29.0741645952363 1
29.748546892359 0
28.646515835237 1
29.8000877207667 0
29.2863941030624 1
30.4734369292618 1
34.5299920967396 1
32.4945371834303 1
36.006950509776 0
17.4446603848441 1
28.6444035750873 0
25.321563132682 1
29.1972871676677 1
31.1344705325304 1
31.3651736710615 1
30.5481316521435 0
30.1514282896478 0
30.5102493393399 1
30.0478468511211 0
29.1127516516322 1
25.845518552515 0
28.6754197289106 0
31.3516958577808 1
21.3458851545276 0
32.5923581225452 0
33.0703469257985 1
30.7323675754147 1
22.180916262993 0
30.399800484425 1
26.4301194457146 1
29.8988877992583 1
34.4609442655337 1
30.5033897129502 1
31.3659878966687 1
21.9032028676745 1
31.7522499299472 0
25.3702607270138 0
31.4311567805245 1
33.6651843881938 0
31.9128492797071 1
30.8352484662518 0
26.3157310173874 1
27.8183472873511 1
26.9798860118538 1
30.2776497851859 1
29.977555781101 1
20.5556684631179 0
30.2326429631615 0
29.8060488900351 0
32.1795094758121 1
24.3797536062689 1
34.006044705589 0
32.7801450721814 0
27.8588274152478 1
23.4273986261724 1
23.3334806350548 1
30.2865472033206 0
22.8829392776801 0
31.9138978158323 1
26.9897771755289 0
40.1717514810129 1
31.0950229092645 1
40.3876701063313 1
26.5771481933136 0
37.9808196865104 1
46.4055835467481 0
30.7660267476758 1
33.0399099846848 1
35.9762549862821 0
33.5824274063942 1
32.5798225146068 1
27.4630380688181 1
25.0769472572567 0
30.0452958739089 1
24.3368418020335 0
29.2760955782086 0
28.3142416855834 0
25.7319679563024 1
32.7623904233387 1
41.0739290740426 0
36.4001364125099 1
30.0346005549646 0
33.6014825470061 1
41.6748426691204 0
20.5401368257169 0
33.5509457472768 0
43.6660670721762 1
28.8944341304467 0
20.7024225264064 0
27.1383908918277 0
33.3235724372761 0
34.0877742044264 1
22.2266171813394 0
20.6695425746476 1
24.3653464709301 0
35.51634488156 0
28.0491389628002 0
38.2566016646001 0
27.4242102070658 0
31.4603900989235 0
24.00111821771 0
27.9798219371625 1
25.2687619258972 1
