"","V1"
"HG00096",-0.179842539498888
"HG00097",-1.26957911816591
"HG00099",-2.63470289826992
"HG00100",0.193905017554756
"HG00101",-0.910045098452796
"HG00102",-1.36556133085481
"HG00103",1.37812086808929
"HG00104",0.984207255097801
"HG00105",-0.725666638342508
"HG00106",1.15097605706679
"HG00108",-0.526500341132221
"HG00109",-2.17847504705452
"HG00110",0.219429908643838
"HG00111",-0.597696111019043
"HG00112",-0.231928799450384
"HG00114",0.056743847810277
"HG00115",-0.667338026962791
"HG00116",0.511806359674843
"HG00117",0.0654539973740579
"HG00118",-0.0381007293163956
"HG00119",0.786702169910589
"HG00120",-1.10055027982798
"HG00121",1.72917343380834
"HG00122",0.276396759546012
"HG00123",1.08445359863153
"HG00124",-0.427396268507985
"HG00125",-1.71607783879231
"HG00126",0.644855772720641
"HG00127",0.283634983773868
"HG00128",-2.21571303738071
"HG00129",-0.241849615683012
"HG00130",-0.953846239215812
"HG00131",-0.21681888920941
"HG00132",0.168599683072191
"HG00133",0.777086885331896
"HG00134",0.85711845120474
"HG00135",0.512937458602101
"HG00136",-0.0296742812448768
"HG00137",0.142423540947376
"HG00138",1.33226803793907
"HG00139",-0.189337371429835
"HG00141",1.14699197237828
"HG00142",0.274745963719798
"HG00143",-1.50544628780969
"HG00145",-0.254868753110612
"HG00146",1.9793602468472
"HG00148",0.945968739024162
"HG00149",-0.257378556608396
"HG00150",0.534817668505765
"HG00151",-0.241179039931963
"HG00152",1.07711342462931
"HG00154",0.436359789894591
"HG00155",-1.01703631565258
"HG00156",-0.54494356890695
"HG00157",-0.758900505019822
"HG00158",0.274162308391954
"HG00159",-0.330513264257729
"HG00160",0.25659276162203
"HG00171",1.25034685065642
"HG00173",0.449307431697096
"HG00174",-0.147308157597735
"HG00176",0.372575550329938
"HG00177",0.567939295835562
"HG00178",-0.595487954512049
"HG00179",-0.484014602666936
"HG00180",0.524542251914533
"HG00181",0.819047553210243
"HG00182",-0.0268093148075428
"HG00183",1.07691962057579
"HG00185",0.177966712923249
"HG00186",0.793064725839801
"HG00187",0.244980980274193
"HG00188",-0.0383653214633195
"HG00189",1.31549417853077
"HG00231",-0.0355817668683551
"HG00232",0.331125800280648
"HG00233",0.230527130476361
"HG00234",-0.576926469532763
"HG00235",-0.161790984202
