0	-2.34
0	2.31
1	5.65
0	-0.109
0	-6.5
0.999	5.94
0	-2.89
0	4.13
1	4.13
0	2.17
0.001	-6.46
0	-2.58
0.449	5.67
0	4.49
0	0.565
0.228	4.79
1	3.32
0.999	2.58
0	-1.57
0.013	4.41
1	5.36
0	-3.83
0	1.37
0	1.89
0.944	5.43
0	-8.48
0	1.52
0	0.358
0	3.15
0	-4.32
0	2.52
0	-0.157
0	-9.22
0	4.8
0.402	0.999
0.975	3.91
0.547	4.8
0.994	5.65
1	5.65
0	-10.7
0	-4.01
0	1.8
0	-4.76
0	3.75
0	0.882
0	-3.34
0.986	4.41
0.173	4.55
0.901	5.71
0.998	3.34
0	2.11
0.178	4.43
0	0.235
0.999	5.08
0	0.564
0	2.3
0	2.11
0	-2.01
0	-3.2
0	-0.246
0.977	4.89
0	-0.881
0	0
0	3.2
0	4.84
1	5.73
0	0.158
1	5.36
0	4.2
0.998	5.36
1	5.36
0	4.16
0	2.63
0	5.26
0	0.697
0	0.201
0	-4.61
0	-3.2
0	0.66
0	4.54
1	2.67
0	1.67
0.013	-1.2
0.985	5.79
1	6.03
0	3.55
0.999	4.46
0	0.318
0.003	5.74
0	-7.68
0	1.25
0	2.07
0.328	5.94
0	5.13
0.005	4.79
0	-2.49
0.394	5.95
0	3.87
0	0.0545
0	-7.92
0	2.1
0	-2.15
0	-10.8
0.001	1.41
0	-0.631
0	-7.94
0.034	3.8
0.034	3.15
0	-3.11
1	5.47
0	-6.46
0	-11.2
0	-2.27
0	5.24
0	5.48
0.078	5.14
0	3.78
0	3.41
0.998	6.06
0	4.74
0	-1.65
0.112	5.39
0	-0.382
0	0.202
0.111	4.4
0	0.561
0.021	5.62
0.015	1.75
0.979	1.75
0	-4.46
0	-1.78
0.001	3.89
0	-1.14
0	-6.54
0	-1.93
1	5.43
0	-4.46
0.001	2.35
0.998	5.53
0	-1.55
0.42	5.54
0.161	3.04
0.999	5.54
0	-0.274
0	-4.84
0	-3.85
0	0.638
0	3.53
0	2.88
0	-11.9
0	-4.68
0	1.68
0	1.54
0	0.543
1	5.66
1	5.79
1	5.79
0.997	5.78
0	-0.233
0.996	5.83
0	0.999
0	-7.55
0	0.357
0.001	-0.0764
