6.43	8.74	6.44	5.14	5.97	9.2	9.2	7.65	5.05	5.45	3.19	8.45	4.22	4.32	5.42	6.88	9.33	9.25	9.56	5.83	1.88	3.92	3.34
6.62	8.92	6.27	4.42	6.3	9.37	9.22	7.4	4.96	5.45	3.06	8.4	3.96	4.21	5.58	6.96	9.25	9.32	9.61	6.12	2.25	4.1	3.15
6.72	8.83	6.48	4.77	6.69	9.25	9.5	7.68	4.8	5.84	2.78	8.33	4.34	4.17	5.83	6.98	9.36	9.25	9.63	6.19	2.6	4.25	3.24
6.53	8.54	6.51	4.84	6.36	9.34	9.44	7.94	4.75	5.79	2.96	8.04	4.02	4.13	5.69	6.94	9.57	9.27	9.55	5.97	2.02	4.18	3.25
6.64	8.84	6.41	4.6	6.26	9.29	9.16	7.67	4.79	5.38	2.75	8.12	4.22	4	5.69	6.93	9.27	9.32	9.54	6.12	2.03	4.35	3.14
6.71	8.68	6.36	4.96	6.3	9.65	9.3	7.75	4.96	5.78	2.48	8.4	4.09	4.26	5.65	7.08	9.52	9.39	9.5	6.03	2.23	4.15	3.08
6.58	8.66	6.34	4.57	6.41	9.02	9.16	7.77	4.8	6	2.46	8.02	3.97	4.08	5.72	6.84	9.36	9.04	9.58	5.95	2.34	4.03	2.9
6.84	8.65	6.17	4.66	6.74	9.14	9.12	7.5	4.94	5.43	2.99	8.27	4.03	4.3	5.29	6.94	9.23	9.34	9.62	6.1	1.84	4.01	2.81
6.55	8.59	6.3	4.38	6.36	9.41	9.3	7.5	4.78	5.49	2.92	8.21	4.17	4.3	5.8	7.11	9.3	9.29	9.59	6.14	2.71	4.24	2.98
6.45	8.85	6.46	4.74	5.97	9.61	9.32	7.63	4.92	5.91	2.85	8.35	3.92	4.32	5.66	7.13	9.44	9.37	9.5	6.33	2.19	4.19	3.23
6.55	8.79	6.47	4.84	6.25	9.59	9.09	7.68	4.7	5.66	2.99	8.2	4.21	4.11	5.41	7.11	9.38	9.38	9.59	6.27	2.3	4.28	3.08
6.33	8.71	6.36	5.01	6.01	9.24	9.5	7.68	4.29	5.63	2.29	8.15	3.91	4.13	5.74	6.84	9.3	9.28	9.68	6.23	2.83	4.31	3.4
6.66	8.71	6.25	4.73	6.51	9.24	9.33	7.66	4.7	5.88	2.83	8.39	4.22	4.14	5.51	7.04	9.78	9.13	9.63	6.36	2.42	4	2.95
6.53	8.76	6.46	5.01	5.93	9.32	9.34	7.7	4.89	5.53	3.22	7.98	4.11	4.27	5.37	6.87	9.46	9.25	9.56	5.61	2.25	4.09	3.3
6.72	8.74	6.42	5.14	6.42	9.43	9.35	8.12	4.79	5.51	2.06	8.36	4	4.23	5.66	7.24	9.29	9.44	9.61	6.24	2.32	4.19	3.29
6.82	8.6	6.42	5.2	6.29	9.31	9.41	7.63	4.64	5.57	2.65	8.2	4.07	4.22	5.55	7.06	9.2	9.23	9.64	5.93	2.28	4.14	3.68
6.55	8.78	6.29	5.05	6.15	9.2	9.43	7.65	4.81	5.65	2.1	7.99	4.19	4.29	5.69	6.87	9.23	9.42	9.69	6.25	2.46	4.08	3.3
6.54	8.72	6.45	4.5	6.34	9.34	9.29	7.89	4.96	5.89	2.56	8.41	4.04	4.09	5.63	7.11	9.61	9.27	9.48	5.72	2.39	4.16	2.86
6.58	8.71	6.42	5.01	5.91	9.31	9.44	7.64	4.58	5.58	3.31	8.42	4.2	4.31	5.46	6.98	9.42	9.21	9.53	6.05	1.79	4.13	3.76
6.53	8.91	6.45	4.67	5.82	9.32	9.28	7.79	4.9	5.67	2.62	8.25	3.95	4.11	5.91	6.91	9.44	9.25	9.69	6.03	2.05	4.18	3.32
